timestamp_iso,trial_index,item_file,item_type,marker_code,rt_ms,button,correct
2025-09-07T08:23:49.210,170,item_06.jpg,probe,6,574.36,left,1
2025-09-07T08:23:50.677,171,item_03.jpg,irrelevant,3,422.18,left,1
2025-09-07T08:23:52.308,172,item_02.jpg,target,2,587.62,right,1
2025-09-07T08:23:54.240,173,item_02.jpg,target,2,893.46,right,1
2025-09-07T08:23:56.289,174,item_06.jpg,probe,6,,,0
2025-09-07T08:23:57.871,175,item_03.jpg,irrelevant,3,533.48,left,1
2025-09-07T08:23:59.453,176,item_06.jpg,probe,6,539.04,left,1
2025-09-07T08:24:01.168,177,item_03.jpg,irrelevant,3,664.31,left,1
2025-09-07T08:24:02.832,178,item_06.jpg,probe,6,615.96,left,1
2025-09-07T08:24:04.465,179,item_05.jpg,irrelevant,5,587.89,left,1
2025-09-07T08:24:06.030,180,item_01.jpg,irrelevant,1,526.30,left,1
2025-09-07T08:24:07.678,181,item_04.jpg,irrelevant,4,596.24,left,1
2025-09-07T08:24:09.177,182,item_05.jpg,irrelevant,5,452.27,left,1
2025-09-07T08:24:10.776,183,item_06.jpg,probe,6,550.05,left,1
2025-09-07T08:24:12.375,184,item_03.jpg,irrelevant,3,547.54,left,1
2025-09-07T08:24:13.890,185,item_01.jpg,irrelevant,1,470.88,left,1
2025-09-07T08:24:15.371,186,item_04.jpg,irrelevant,4,430.34,left,1
2025-09-07T08:24:17.005,187,item_03.jpg,irrelevant,3,580.64,left,1
2025-09-07T08:24:18.702,188,item_02.jpg,target,2,645.89,right,1
2025-09-07T08:24:20.300,189,item_05.jpg,irrelevant,5,554.06,left,1
2025-09-07T08:24:21.749,190,item_03.jpg,irrelevant,3,406.94,left,1
2025-09-07T08:24:23.331,191,item_02.jpg,target,2,529.99,right,1
2025-09-07T08:24:24.996,192,item_05.jpg,irrelevant,5,611.55,left,1
2025-09-07T08:24:26.963,193,item_03.jpg,irrelevant,3,925.46,left,1
2025-09-07T08:24:28.511,194,item_03.jpg,irrelevant,3,504.76,left,1
2025-09-07T08:24:29.960,195,item_06.jpg,probe,6,406.15,left,1
2025-09-07T08:24:31.407,196,item_03.jpg,irrelevant,3,399.43,left,1
2025-09-07T08:24:32.873,197,item_04.jpg,irrelevant,4,414.49,left,1
2025-09-07T08:24:34.437,198,item_04.jpg,irrelevant,4,512.28,left,1
2025-09-07T08:24:36.053,199,item_02.jpg,target,2,574.57,right,1
2025-09-07T08:24:37.601,200,item_04.jpg,irrelevant,4,511.51,left,1
2025-09-07T08:24:40.117,201,item_04.jpg,irrelevant,4,545.65,left,1
2025-09-07T08:24:42.048,202,item_04.jpg,irrelevant,4,881.42,left,1
2025-09-07T08:24:43.530,203,item_04.jpg,irrelevant,4,436.18,left,1
2025-09-07T08:24:44.963,204,item_06.jpg,probe,6,391.80,left,1
2025-09-07T08:24:46.577,205,item_01.jpg,irrelevant,1,575.84,left,1
2025-09-07T08:24:48.109,206,item_05.jpg,irrelevant,5,489.79,left,1
2025-09-07T08:24:49.541,207,item_05.jpg,irrelevant,5,381.33,left,1
2025-09-07T08:24:50.974,208,item_06.jpg,probe,6,380.86,left,1
2025-09-07T08:24:52.423,209,item_02.jpg,target,2,409.77,right,1
2025-09-07T08:24:53.855,210,item_04.jpg,irrelevant,4,384.27,left,1
2025-09-07T08:24:55.352,211,item_01.jpg,irrelevant,1,445.56,left,1
2025-09-07T08:24:57.187,212,item_04.jpg,irrelevant,4,780.55,left,1
2025-09-07T08:24:58.766,213,item_06.jpg,probe,6,530.92,left,1
2025-09-07T08:25:00.316,214,item_02.jpg,target,2,500.55,right,1
2025-09-07T08:25:02.080,215,item_02.jpg,target,2,721.95,right,1
2025-09-07T08:25:03.713,216,item_05.jpg,irrelevant,5,584.06,left,1
2025-09-07T08:25:05.262,217,item_01.jpg,irrelevant,1,495.68,left,1
2025-09-07T08:25:06.845,218,item_02.jpg,target,2,540.58,right,1
2025-09-07T08:25:08.592,219,item_05.jpg,irrelevant,5,707.86,left,1
2025-09-07T08:25:10.158,220,item_03.jpg,irrelevant,3,522.79,left,1
2025-09-07T08:25:11.706,221,item_03.jpg,irrelevant,3,501.12,left,1
2025-09-07T08:25:13.221,222,item_03.jpg,irrelevant,3,466.72,left,1
2025-09-07T08:25:14.786,223,item_04.jpg,irrelevant,4,523.75,left,1
2025-09-07T08:25:16.252,224,item_01.jpg,irrelevant,1,416.28,left,1
2025-09-07T08:25:17.701,225,item_05.jpg,irrelevant,5,405.64,left,1
2025-09-07T08:25:19.116,226,item_03.jpg,irrelevant,3,366.12,left,1
2025-09-07T08:25:20.615,227,item_01.jpg,irrelevant,1,449.93,left,1
2025-09-07T08:25:22.081,228,item_05.jpg,irrelevant,5,415.34,left,1
2025-09-07T08:25:23.595,229,item_06.jpg,probe,6,470.61,left,1
2025-09-07T08:25:25.128,230,item_01.jpg,irrelevant,1,482.18,left,1
2025-09-07T08:25:26.577,231,item_04.jpg,irrelevant,4,408.30,left,1
2025-09-07T08:25:28.009,232,item_06.jpg,probe,6,395.18,left,1
2025-09-07T08:25:29.490,233,item_02.jpg,target,2,429.34,right,1
2025-09-07T08:25:31.171,234,item_05.jpg,irrelevant,5,636.07,left,1
2025-09-07T08:25:32.619,235,item_05.jpg,irrelevant,5,407.81,left,1
2025-09-07T08:25:34.218,236,item_02.jpg,target,2,555.36,right,1
2025-09-07T08:25:35.802,237,item_01.jpg,irrelevant,1,537.50,left,1
2025-09-07T08:25:37.299,238,item_01.jpg,irrelevant,1,462.36,left,1
2025-09-07T08:25:38.832,239,item_03.jpg,irrelevant,3,483.04,left,1
2025-09-07T08:25:40.681,240,item_06.jpg,probe,6,806.68,left,1
